Number of iterations:	 264	 Error:	 0.000841	 Elapsed Wtime:	       1.257703
Number of iterations:	 265	 Error:	 0.000838	 Elapsed Wtime:	       1.262413
Number of iterations:	 266	 Error:	 0.000836	 Elapsed Wtime:	       1.267123
Number of iterations:	 267	 Error:	 0.000833	 Elapsed Wtime:	       1.271834
Number of iterations:	 268	 Error:	 0.000831	 Elapsed Wtime:	       1.276554
Number of iterations:	 269	 Error:	 0.000828	 Elapsed Wtime:	       1.281501
Number of iterations:	 270	 Error:	 0.000826	 Elapsed Wtime:	       1.286210
Number of iterations:	 271	 Error:	 0.000823	 Elapsed Wtime:	       1.290922
Number of iterations:	 272	 Error:	 0.000821	 Elapsed Wtime:	       1.295737
Number of iterations:	 273	 Error:	 0.000818	 Elapsed Wtime:	       1.300507
Number of iterations:	 274	 Error:	 0.000816	 Elapsed Wtime:	       1.305280
Number of iterations:	 275	 Error:	 0.000813	 Elapsed Wtime:	       1.310101
Number of iterations:	 276	 Error:	 0.000811	 Elapsed Wtime:	       1.314874
Number of iterations:	 277	 Error:	 0.000809	 Elapsed Wtime:	       1.319698
Number of iterations:	 278	 Error:	 0.000806	 Elapsed Wtime:	       1.324466
Number of iterations:	 279	 Error:	 0.000804	 Elapsed Wtime:	       1.329244
Number of iterations:	 280	 Error:	 0.000802	 Elapsed Wtime:	       1.334061
Number of iterations:	 281	 Error:	 0.000799	 Elapsed Wtime:	       1.338833
Number of iterations:	 282	 Error:	 0.000797	 Elapsed Wtime:	       1.343606
Number of iterations:	 283	 Error:	 0.000795	 Elapsed Wtime:	       1.348423
Number of iterations:	 284	 Error:	 0.000792	 Elapsed Wtime:	       1.353197
Number of iterations:	 285	 Error:	 0.000790	 Elapsed Wtime:	       1.358023
Number of iterations:	 286	 Error:	 0.000788	 Elapsed Wtime:	       1.362800
Number of iterations:	 287	 Error:	 0.000786	 Elapsed Wtime:	       1.367570
Number of iterations:	 288	 Error:	 0.000784	 Elapsed Wtime:	       1.372386
Number of iterations:	 289	 Error:	 0.000781	 Elapsed Wtime:	       1.377159
Number of iterations:	 290	 Error:	 0.000779	 Elapsed Wtime:	       1.381991
Number of iterations:	 291	 Error:	 0.000777	 Elapsed Wtime:	       1.386762
Number of iterations:	 292	 Error:	 0.000775	 Elapsed Wtime:	       1.391533
Number of iterations:	 293	 Error:	 0.000773	 Elapsed Wtime:	       1.396350
Number of iterations:	 294	 Error:	 0.000771	 Elapsed Wtime:	       1.401122
Number of iterations:	 295	 Error:	 0.000769	 Elapsed Wtime:	       1.405943
Number of iterations:	 296	 Error:	 0.000767	 Elapsed Wtime:	       1.410718
Number of iterations:	 297	 Error:	 0.000765	 Elapsed Wtime:	       1.415542
Number of iterations:	 298	 Error:	 0.000762	 Elapsed Wtime:	       1.420362
Number of iterations:	 299	 Error:	 0.000760	 Elapsed Wtime:	       1.425143
Number of iterations:	 300	 Error:	 0.000758	 Elapsed Wtime:	       1.429966
Number of iterations:	 301	 Error:	 0.000756	 Elapsed Wtime:	       1.434735
Number of iterations:	 302	 Error:	 0.000754	 Elapsed Wtime:	       1.439503
Number of iterations:	 303	 Error:	 0.000752	 Elapsed Wtime:	       1.444325
Number of iterations:	 304	 Error:	 0.000750	 Elapsed Wtime:	       1.449095
Number of iterations:	 305	 Error:	 0.000749	 Elapsed Wtime:	       1.453918
Number of iterations:	 306	 Error:	 0.000747	 Elapsed Wtime:	       1.458764
Number of iterations:	 307	 Error:	 0.000745	 Elapsed Wtime:	       1.463538
Number of iterations:	 308	 Error:	 0.000743	 Elapsed Wtime:	       1.468392
Number of iterations:	 309	 Error:	 0.000741	 Elapsed Wtime:	       1.473166
Number of iterations:	 310	 Error:	 0.000739	 Elapsed Wtime:	       1.478010
Number of iterations:	 311	 Error:	 0.000737	 Elapsed Wtime:	       1.482786
Number of iterations:	 312	 Error:	 0.000735	 Elapsed Wtime:	       1.487554
Number of iterations:	 313	 Error:	 0.000733	 Elapsed Wtime:	       1.492375
Number of iterations:	 314	 Error:	 0.000732	 Elapsed Wtime:	       1.497146
Number of iterations:	 315	 Error:	 0.000730	 Elapsed Wtime:	       1.501982
Number of iterations:	 316	 Error:	 0.000728	 Elapsed Wtime:	       1.506754
Number of iterations:	 317	 Error:	 0.000726	 Elapsed Wtime:	       1.511494
Number of iterations:	 318	 Error:	 0.000724	 Elapsed Wtime:	       1.516317
Number of iterations:	 319	 Error:	 0.000723	 Elapsed Wtime:	       1.521092
Number of iterations:	 320	 Error:	 0.000721	 Elapsed Wtime:	       1.525916
Number of iterations:	 321	 Error:	 0.000719	 Elapsed Wtime:	       1.530689
Number of iterations:	 322	 Error:	 0.000717	 Elapsed Wtime:	       1.535461
Number of iterations:	 323	 Error:	 0.000716	 Elapsed Wtime:	       1.540280
Number of iterations:	 324	 Error:	 0.000714	 Elapsed Wtime:	       1.545055
Number of iterations:	 325	 Error:	 0.000712	 Elapsed Wtime:	       1.549873
Number of iterations:	 326	 Error:	 0.000710	 Elapsed Wtime:	       1.554643
Number of iterations:	 327	 Error:	 0.000709	 Elapsed Wtime:	       1.559408
Number of iterations:	 328	 Error:	 0.000707	 Elapsed Wtime:	       1.564230
Number of iterations:	 329	 Error:	 0.000705	 Elapsed Wtime:	       1.569000
Number of iterations:	 330	 Error:	 0.000704	 Elapsed Wtime:	       1.573819
Number of iterations:	 331	 Error:	 0.000702	 Elapsed Wtime:	       1.578587
Number of iterations:	 332	 Error:	 0.000700	 Elapsed Wtime:	       1.583359
Number of iterations:	 333	 Error:	 0.000699	 Elapsed Wtime:	       1.588180
Number of iterations:	 334	 Error:	 0.000697	 Elapsed Wtime:	       1.592953
Number of iterations:	 335	 Error:	 0.000696	 Elapsed Wtime:	       1.597774
Number of iterations:	 336	 Error:	 0.000694	 Elapsed Wtime:	       1.602543
Number of iterations:	 337	 Error:	 0.000692	 Elapsed Wtime:	       1.607319
Number of iterations:	 338	 Error:	 0.000691	 Elapsed Wtime:	       1.612139
Number of iterations:	 339	 Error:	 0.000689	 Elapsed Wtime:	       1.616909
Number of iterations:	 340	 Error:	 0.000688	 Elapsed Wtime:	       1.621709
Number of iterations:	 341	 Error:	 0.000686	 Elapsed Wtime:	       1.626482
Number of iterations:	 342	 Error:	 0.000685	 Elapsed Wtime:	       1.631259
Number of iterations:	 343	 Error:	 0.000683	 Elapsed Wtime:	       1.636077
Number of iterations:	 344	 Error:	 0.000682	 Elapsed Wtime:	       1.640849
Number of iterations:	 345	 Error:	 0.000680	 Elapsed Wtime:	       1.645619
Number of iterations:	 346	 Error:	 0.000679	 Elapsed Wtime:	       1.650438
Number of iterations:	 347	 Error:	 0.000677	 Elapsed Wtime:	       1.655196
Number of iterations:	 348	 Error:	 0.000676	 Elapsed Wtime:	       1.659957
Number of iterations:	 349	 Error:	 0.000674	 Elapsed Wtime:	       1.664692
