The overrelaxation coefficient (omega) passed from command line is	 1.950
The border exchange factor passed from command line is	 1
Number of iterations:	 243	 Error:	 0.000492	 Elapsed Wtime:	       0.080027
Number of iterations:	 244	 Error:	 0.000484	 Elapsed Wtime:	       0.080359
Number of iterations:	 245	 Error:	 0.000477	 Elapsed Wtime:	       0.080673
Number of iterations:	 246	 Error:	 0.000470	 Elapsed Wtime:	       0.080979
Number of iterations:	 247	 Error:	 0.000463	 Elapsed Wtime:	       0.081316
Number of iterations:	 248	 Error:	 0.000456	 Elapsed Wtime:	       0.081622
Number of iterations:	 249	 Error:	 0.000450	 Elapsed Wtime:	       0.081927
Number of iterations:	 250	 Error:	 0.000443	 Elapsed Wtime:	       0.082239
Number of iterations:	 251	 Error:	 0.000437	 Elapsed Wtime:	       0.082575
Number of iterations:	 252	 Error:	 0.000430	 Elapsed Wtime:	       0.082880
Number of iterations:	 253	 Error:	 0.000424	 Elapsed Wtime:	       0.083190
Number of iterations:	 254	 Error:	 0.000418	 Elapsed Wtime:	       0.083526
Number of iterations:	 255	 Error:	 0.000412	 Elapsed Wtime:	       0.083831
Number of iterations:	 256	 Error:	 0.000406	 Elapsed Wtime:	       0.084141
Number of iterations:	 257	 Error:	 0.000400	 Elapsed Wtime:	       0.084472
Number of iterations:	 258	 Error:	 0.000394	 Elapsed Wtime:	       0.084777
Number of iterations:	 259	 Error:	 0.000388	 Elapsed Wtime:	       0.085081
Number of iterations:	 260	 Error:	 0.000382	 Elapsed Wtime:	       0.085417
Number of iterations:	 261	 Error:	 0.000377	 Elapsed Wtime:	       0.085725
Number of iterations:	 262	 Error:	 0.000371	 Elapsed Wtime:	       0.086031
Number of iterations:	 263	 Error:	 0.000366	 Elapsed Wtime:	       0.086375
Number of iterations:	 264	 Error:	 0.000360	 Elapsed Wtime:	       0.086681
Number of iterations:	 265	 Error:	 0.000355	 Elapsed Wtime:	       0.086987
Number of iterations:	 266	 Error:	 0.000350	 Elapsed Wtime:	       0.087333
Number of iterations:	 267	 Error:	 0.000345	 Elapsed Wtime:	       0.087681
Number of iterations:	 268	 Error:	 0.000340	 Elapsed Wtime:	       0.087992
Number of iterations:	 269	 Error:	 0.000335	 Elapsed Wtime:	       0.088302
Number of iterations:	 270	 Error:	 0.000330	 Elapsed Wtime:	       0.088607
Number of iterations:	 271	 Error:	 0.000325	 Elapsed Wtime:	       0.088910
Number of iterations:	 272	 Error:	 0.000320	 Elapsed Wtime:	       0.089216
Number of iterations:	 273	 Error:	 0.000315	 Elapsed Wtime:	       0.089520
Number of iterations:	 274	 Error:	 0.000311	 Elapsed Wtime:	       0.089824
Number of iterations:	 275	 Error:	 0.000306	 Elapsed Wtime:	       0.090127
Number of iterations:	 276	 Error:	 0.000302	 Elapsed Wtime:	       0.090435
Number of iterations:	 277	 Error:	 0.000297	 Elapsed Wtime:	       0.090738
Number of iterations:	 278	 Error:	 0.000293	 Elapsed Wtime:	       0.091041
Number of iterations:	 279	 Error:	 0.000289	 Elapsed Wtime:	       0.091348
Number of iterations:	 280	 Error:	 0.000284	 Elapsed Wtime:	       0.091653
Number of iterations:	 281	 Error:	 0.000280	 Elapsed Wtime:	       0.091955
Number of iterations:	 282	 Error:	 0.000276	 Elapsed Wtime:	       0.092262
Number of iterations:	 283	 Error:	 0.000272	 Elapsed Wtime:	       0.092566
Number of iterations:	 284	 Error:	 0.000268	 Elapsed Wtime:	       0.092869
Number of iterations:	 285	 Error:	 0.000264	 Elapsed Wtime:	       0.093175
Number of iterations:	 286	 Error:	 0.000260	 Elapsed Wtime:	       0.093493
Number of iterations:	 287	 Error:	 0.000256	 Elapsed Wtime:	       0.093804
Number of iterations:	 288	 Error:	 0.000253	 Elapsed Wtime:	       0.094108
Number of iterations:	 289	 Error:	 0.000249	 Elapsed Wtime:	       0.094417
Number of iterations:	 290	 Error:	 0.000245	 Elapsed Wtime:	       0.094721
Number of iterations:	 291	 Error:	 0.000242	 Elapsed Wtime:	       0.095025
Number of iterations:	 292	 Error:	 0.000238	 Elapsed Wtime:	       0.095332
Number of iterations:	 293	 Error:	 0.000235	 Elapsed Wtime:	       0.095638
Number of iterations:	 294	 Error:	 0.000231	 Elapsed Wtime:	       0.095942
Number of iterations:	 295	 Error:	 0.000228	 Elapsed Wtime:	       0.096250
Number of iterations:	 296	 Error:	 0.000225	 Elapsed Wtime:	       0.096554
Number of iterations:	 297	 Error:	 0.000221	 Elapsed Wtime:	       0.096857
Number of iterations:	 298	 Error:	 0.000218	 Elapsed Wtime:	       0.097160
Number of iterations:	 299	 Error:	 0.000215	 Elapsed Wtime:	       0.097472
Number of iterations:	 300	 Error:	 0.000212	 Elapsed Wtime:	       0.097776
Number of iterations:	 301	 Error:	 0.000209	 Elapsed Wtime:	       0.098079
Number of iterations:	 302	 Error:	 0.000206	 Elapsed Wtime:	       0.098388
Number of iterations:	 303	 Error:	 0.000203	 Elapsed Wtime:	       0.098692
Number of iterations:	 304	 Error:	 0.000200	 Elapsed Wtime:	       0.098994
Number of iterations:	 305	 Error:	 0.000197	 Elapsed Wtime:	       0.099308
Number of iterations:	 306	 Error:	 0.000194	 Elapsed Wtime:	       0.099612
Number of iterations:	 307	 Error:	 0.000191	 Elapsed Wtime:	       0.099915
Number of iterations:	 308	 Error:	 0.000188	 Elapsed Wtime:	       0.100221
Number of iterations:	 309	 Error:	 0.000185	 Elapsed Wtime:	       0.100526
Number of iterations:	 310	 Error:	 0.000183	 Elapsed Wtime:	       0.100829
Number of iterations:	 311	 Error:	 0.000180	 Elapsed Wtime:	       0.101133
Number of iterations:	 312	 Error:	 0.000177	 Elapsed Wtime:	       0.101440
Number of iterations:	 313	 Error:	 0.000175	 Elapsed Wtime:	       0.101743
Number of iterations:	 314	 Error:	 0.000172	 Elapsed Wtime:	       0.102046
Number of iterations:	 315	 Error:	 0.000170	 Elapsed Wtime:	       0.102353
Number of iterations:	 316	 Error:	 0.000167	 Elapsed Wtime:	       0.102657
Number of iterations:	 317	 Error:	 0.000165	 Elapsed Wtime:	       0.102960
Number of iterations:	 318	 Error:	 0.000162	 Elapsed Wtime:	       0.103266
Number of iterations:	 319	 Error:	 0.000160	 Elapsed Wtime:	       0.103570
Number of iterations:	 320	 Error:	 0.000158	 Elapsed Wtime:	       0.103873
Number of iterations:	 321	 Error:	 0.000155	 Elapsed Wtime:	       0.104183
Number of iterations:	 322	 Error:	 0.000153	 Elapsed Wtime:	       0.104490
Number of iterations:	 323	 Error:	 0.000151	 Elapsed Wtime:	       0.104794
Number of iterations:	 324	 Error:	 0.000149	 Elapsed Wtime:	       0.105096
Number of iterations:	 325	 Error:	 0.000146	 Elapsed Wtime:	       0.105405
Number of iterations:	 326	 Error:	 0.000144	 Elapsed Wtime:	       0.105710
Number of iterations:	 327	 Error:	 0.000142	 Elapsed Wtime:	       0.106023
Number of iterations:	 328	 Error:	 0.000140	 Elapsed Wtime:	       0.106330
Number of iterations:	 329	 Error:	 0.000138	 Elapsed Wtime:	       0.106645
Number of iterations:	 330	 Error:	 0.000136	 Elapsed Wtime:	       0.106950
Number of iterations:	 331	 Error:	 0.000134	 Elapsed Wtime:	       0.107258
Number of iterations:	 332	 Error:	 0.000132	 Elapsed Wtime:	       0.107562
Number of iterations:	 333	 Error:	 0.000130	 Elapsed Wtime:	       0.107866
Number of iterations:	 334	 Error:	 0.000128	 Elapsed Wtime:	       0.108172
Number of iterations:	 335	 Error:	 0.000126	 Elapsed Wtime:	       0.108478
Number of iterations:	 336	 Error:	 0.000124	 Elapsed Wtime:	       0.108782
